Incidents_Recorded,Crime_Rate,Crime_City,Number_of_Records,Offence_Division,Offence Subdivision,Offence Subgroup,Crime_Year
2,1.97,BALLARAT,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,6.98,SOUTH GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,6.16,BASS COAST,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,14.48,MURRINDINDI,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,23.58,MANSFIELD,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,14.37,BENALLA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,3.65,GREATER BENDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.14,BOROONDARA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
9,4.45,BRIMBANK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
6,6.49,CARDINIA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,1.33,CASEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,26.54,LODDON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,2.63,DAREBIN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,4.47,EAST GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.45,FRANKSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,1.72,GREATER GEELONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.37,GLEN EIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.98,BAYSIDE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
7,4.46,GREATER DANDENONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,3.1,GREATER SHEPPARTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,2.18,HOBSONS BAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,34.61,HINDMARSH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
6,3.02,HUME,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.28,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.28,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.26,KNOX,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
