Year,Crime_City,Migration,Crime_Rate,Population
2015,ALPINE,36,100.1129847,12355
2016,ALPINE,33,88.35341365,12429
2017,ALPINE,37,86.89572513,12578
2018,ALPINE,52,100.7384312,12639
2015,ARARAT,26,210.0909843,11560
2016,ARARAT,9,227.3459009,11644
2017,ARARAT,17,253.7746311,11745
2018,ARARAT,20,238.2519997,11757
2015,BALLARAT,383,165.3301283,99914
2016,BALLARAT,330,185.5094793,101479
2017,BALLARAT,334,174.3126234,103500
2018,BALLARAT,372,149.6669373,105438
2015,BANYULE,872,121.0177066,125107
2016,BANYULE,872,120.8627985,126088
2017,BANYULE,955,117.3094121,127447
2018,BANYULE,942,122.4068514,129125
2015,BASS COAST,58,142.9961818,31917
2016,BASS COAST,59,146.7992043,32576
2017,BASS COAST,84,155.397885,33464
2018,BASS COAST,83,119.5075258,34390
2015,BAW BAW,76,120.9573711,46644
2016,BAW BAW,66,147.6868641,47837
2017,BAW BAW,74,129.6874543,49296
2018,BAW BAW,85,142.6300876,50687
2015,BAYSIDE,665,87.46731656,99797
2016,BAYSIDE,648,101.5038898,101268
2017,BAYSIDE,777,86.34528501,102912
2018,BAYSIDE,734,97.49377488,104274
2015,BENALLA,25,159.7701149,13898
2016,BENALLA,22,209.8287945,13923
2017,BENALLA,30,225.9202116,13982
2018,BENALLA,21,172.9420456,13975
2015,BOROONDARA,2323,78.88841903,172660
2016,BOROONDARA,2335,90.23899307,174753
2017,BOROONDARA,2394,77.72659894,177276
2018,BOROONDARA,2633,78.20683751,179640
2015,BRIMBANK,2494,132.6931676,198468
2016,BRIMBANK,2759,147.0100758,200860
2017,BRIMBANK,2801,111.2490749,204190
2018,BRIMBANK,2902,116.8782346,207009
2015,BULOKE,10,195.7685001,6335
2016,BULOKE,14,166.3505034,6306
2017,BULOKE,5,134.4940217,6284
2018,BULOKE,16,149.2694051,6206
2015,CAMPASPE,68,159.3020176,37338
2016,CAMPASPE,65,165.9209813,37429
2017,CAMPASPE,89,176.2479721,37595
2018,CAMPASPE,86,186.2846974,37602
2015,CARDINIA,556,97.00215396,88070
2016,CARDINIA,480,114.6791862,92298
2017,CARDINIA,530,98.6098844,97573
2018,CARDINIA,497,84.47044591,102425
2015,CASEY,3311,86.20419087,287937
2016,CASEY,3380,97.33342082,299528
2017,CASEY,3596,88.03661974,312789
2018,CASEY,3879,79.76327463,326820
2015,CENTRAL GOLDFIELDS,36,184.2810027,12884
2016,CENTRAL GOLDFIELDS,37,221.0161443,12950
2017,CENTRAL GOLDFIELDS,23,199.4716062,13087
